state,date,cases,deaths
Oregon,2020-02-28,1,0
Massachusetts,2020-03-10,92,0
Washington,2020-03-25,2585,130
Texas,2020-03-26,1542,21
Oregon,2020-03-29,549,13
Guam,2020-04-03,154,4
Louisiana,2020-04-03,10299,370
New Mexico,2020-04-05,624,12
Puerto Rico,2020-04-13,903,45
Texas,2020-04-13,14487,320
Oklahoma,2020-04-18,2570,139
Wisconsin,2020-05-02,7785,334
Iowa,2020-05-04,9703,188
Tennessee,2020-05-05,13555,225
Virgin Islands,2020-05-12,69,6
Rhode Island,2020-05-26,14210,634
Georgia,2020-06-03,46711,2092
Ohio,2020-06-11,40004,2490
Georgia,2020-06-12,53201,2384
Tennessee,2020-06-13,29616,465
Idaho,2020-06-14,3413,88
North Dakota,2020-06-16,3127,77
Washington,2020-06-17,28270,1229
Arizona,2020-06-19,46914,1322
New Hampshire,2020-06-20,5518,339
New York,2020-06-24,394430,31001
Missouri,2020-06-30,22275,1037
North Carolina,2020-07-01,66815,1389
Delaware,2020-07-05,12128,512
Puerto Rico,2020-07-06,432,155
Guam,2020-07-16,1283,6
North Carolina,2020-07-23,107050,1754
Virginia,2020-07-27,86072,2082
Virginia,2020-08-04,94251,2244
Wyoming,2020-08-04,2884,27
North Carolina,2020-08-07,133033,2160
Alabama,2020-08-08,100173,1755
Connecticut,2020-08-10,50567,4444
Guam,2020-08-10,1387,6
Idaho,2020-08-13,26814,256
South Carolina,2020-08-20,109320,2401
South Dakota,2020-08-20,10691,157
Montana,2020-08-25,6649,97
Puerto Rico,2020-08-26,1306,404
Oregon,2020-09-01,26958,467
Rhode Island,2020-09-04,22243,1055
Hawaii,2020-09-07,9933,85
North Dakota,2020-09-09,14114,161
Georgia,2020-07-26,153476,3424
Virgin Islands,2020-09-10,1201,18
Kansas,2020-09-17,52039,586
Alabama,2020-09-20,144962,2437
Wyoming,2020-09-20,4871,49
Arkansas,2020-10-06,88071,1469
Arizona,2020-10-11,225575,5759
Arkansas,2020-10-13,94167,1611
Arizona,2020-10-15,228748,5789
Louisiana,2020-10-15,176952,5707
Nebraska,2020-10-16,56724,556
Wyoming,2020-10-21,9848,61
Hawaii,2020-10-22,14478,205
Minnesota,2020-10-25,133855,2402
New Jersey,2020-10-28,234790,16324
Idaho,2020-10-31,64797,630
Arkansas,2020-11-02,113641,1985
Colorado,2020-11-02,112821,2320
Oklahoma,2020-11-04,127772,1392
Idaho,2020-11-08,73212,691
Illinois,2020-11-08,488980,10548
Nevada,2020-11-10,112602,1863
Idaho,2020-11-11,77536,738
New York,2020-11-17,573544,33576
Missouri,2020-11-18,266079,3591
Arizona,2020-11-27,318695,6588
Nebraska,2020-11-28,125820,1021
Wyoming,2020-11-29,32489,215
Louisiana,2020-12-01,237740,6455
Indiana,2020-12-02,353722,5973
Florida,2020-12-03,1029022,18873
Northern Mariana Islands,2020-12-04,106,2
Pennsylvania,2020-12-06,423828,11389
Nebraska,2020-12-07,141918,1251
Virgin Islands,2020-12-17,1878,23
Illinois,2020-12-20,901924,16407
Connecticut,2020-12-21,167377,5676
Alabama,2020-12-27,345628,4691
Arkansas,2020-12-28,216528,3537
Indiana,2021-01-06,542235,8743
Mississippi,2021-01-06,228235,5013
New Hampshire,2021-01-08,50152,846
Iowa,2021-01-11,297774,4139
Tennessee,2021-01-11,645378,7795
New Mexico,2021-01-12,157974,2796
Maryland,2021-01-15,320923,6494
Iowa,2021-01-20,308787,4394
Mississippi,2021-01-22,261167,5713
Arizona,2021-02-01,762458,13124
Minnesota,2021-02-02,463200,6278
Idaho,2021-02-05,165058,1760
Arizona,2021-02-09,788540,14317
District of Columbia,2021-02-09,38281,961
Virginia,2021-02-09,534116,6898
Kentucky,2021-02-12,390634,4420
Georgia,2021-01-17,791322,11906
Northern Mariana Islands,2021-02-12,134,2
Louisiana,2021-02-14,419891,9292
Alaska,2021-02-18,56768,277
New Hampshire,2021-02-18,72399,1150
Virginia,2021-02-23,567039,7658
Guam,2021-02-24,8698,131
Louisiana,2021-02-28,430100,9608
Minnesota,2021-03-03,486502,6575
New Mexico,2021-03-08,187040,3813
South Carolina,2021-03-09,527348,8763
Montana,2021-03-10,101374,1388
Illinois,2021-03-12,1209847,23163
Kentucky,2021-03-14,419578,5123
Alabama,2021-03-15,508229,10329
Mississippi,2021-03-16,301250,6929
Kentucky,2021-03-19,423499,5744
West Virginia,2021-03-20,137478,2600
Guam,2021-03-31,8776,135
Maine,2021-04-01,50788,744
Georgia,2021-04-03,1039632,18623
Rhode Island,2021-04-05,139173,2629
New Mexico,2021-04-12,193987,3981
West Virginia,2021-04-18,148887,2785
Massachusetts,2020-02-07,1,0
Washington,2020-03-13,511,37
District of Columbia,2020-03-16,22,0
Idaho,2020-03-16,5,0
Florida,2020-03-20,564,9
West Virginia,2020-03-21,12,0
North Carolina,2020-03-27,784,3
Arkansas,2020-04-05,853,16
Texas,2020-04-09,11372,228
Virgin Islands,2020-04-12,51,1
Puerto Rico,2020-04-16,1043,56
Rhode Island,2020-04-16,3838,105
Mississippi,2020-04-17,3793,140
Pennsylvania,2020-04-19,32992,1285
Virginia,2020-04-28,14340,492
Alaska,2020-04-29,353,7
District of Columbia,2020-05-02,4797,240
Virginia,2020-05-05,20258,713
Maine,2020-05-06,1254,62
Pennsylvania,2020-05-11,60557,3846
Pennsylvania,2020-05-18,66676,4554
Utah,2020-05-06,5605,59
Utah,2020-05-09,6103,66
Maryland,2020-06-03,55617,2641
Alaska,2020-06-04,542,8
Alabama,2020-06-08,20925,718
Florida,2020-06-08,64896,2711
Pennsylvania,2020-06-21,86024,6472
Delaware,2020-06-26,11017,507
South Dakota,2020-06-28,6681,91
Iowa,2020-07-02,30259,719
Washington,2020-07-03,36417,1353
California,2020-07-05,271587,6369
Oregon,2020-07-07,10654,224
Iowa,2020-07-14,35942,759
New Hampshire,2020-07-16,6139,395
Michigan,2020-07-20,82486,6377
Washington,2020-07-21,50746,1531
Massachusetts,2020-07-24,114985,8498
Washington,2020-07-24,53278,1590
Nevada,2020-07-26,42919,734
Delaware,2020-07-28,14476,580
Florida,2020-07-28,441969,6116
Minnesota,2020-07-29,52987,1629
Pennsylvania,2020-08-04,119765,7296
Arizona,2020-08-05,182230,3933
California,2020-08-05,532776,9866
California,2020-08-11,586078,10654
South Carolina,2020-08-11,102130,2098
Delaware,2020-08-12,15765,592
Rhode Island,2020-08-16,20335,1021
Nebraska,2020-08-23,31889,384
Indiana,2020-08-26,91403,3259
Missouri,2020-08-28,82449,1599
Nebraska,2020-08-30,34046,400
Mississippi,2020-08-31,82950,2473
West Virginia,2020-08-31,10250,214
South Dakota,2020-09-04,14596,170
District of Columbia,2020-09-08,14362,611
Kentucky,2020-08-24,46057,909
Oregon,2020-09-15,29664,519
Tennessee,2020-09-23,184068,2252
West Virginia,2020-09-24,14706,325
Pennsylvania,2020-10-05,169126,8300
District of Columbia,2020-10-17,16334,641
District of Columbia,2020-10-19,16395,641
North Carolina,2020-10-25,260128,4183
Kansas,2020-10-29,83838,1008
Maryland,2020-10-29,143875,4127
Wyoming,2020-10-31,13298,87
Tennessee,2020-11-11,288311,3727
Oregon,2020-11-14,56018,760
Nebraska,2020-11-15,98161,796
Guam,2020-11-18,7315,101
New Jersey,2020-11-18,291374,16655
Maine,2020-11-23,10544,177
Hawaii,2020-11-24,17461,231
Utah,2020-11-25,183960,834
Indiana,2020-11-29,336027,5685
West Virginia,2020-11-30,47842,735
New Mexico,2020-12-01,99419,1589
Arizona,2020-12-18,444038,7819
South Dakota,2020-12-18,93772,1330
Tennessee,2020-12-15,460454,5557
Florida,2020-12-24,1247538,20994
Puerto Rico,2020-12-25,3685,1432
North Carolina,2020-12-29,526439,6630
Vermont,2021-01-14,9573,162
Rhode Island,2021-01-16,104443,2005
Montana,2021-01-22,91145,1106
Virgin Islands,2021-01-28,2384,24
Wisconsin,2021-01-30,590997,6433
Vermont,2021-02-05,12612,181
Texas,2021-02-06,2487260,39330
Alabama,2021-02-09,474666,8579
Kansas,2021-02-10,287914,4303
Georgia,2021-01-08,712785,10958
Utah,2021-02-17,363306,1806
Louisiana,2021-02-23,426048,9503
Rhode Island,2021-02-25,125185,2496
New Jersey,2021-02-27,786964,23238
Minnesota,2021-02-28,484662,6551
New York,2021-02-28,1644124,47143
New York,2021-03-01,1650560,47247
Iowa,2021-03-02,337496,5498
Colorado,2021-03-08,439609,6079
Nevada,2021-03-08,296457,5040
Iowa,2021-03-13,342705,5634
Ohio,2021-03-13,988298,17871
Florida,2021-03-16,1984417,32448
Oregon,2021-03-16,160084,2348
North Carolina,2021-03-20,900319,11848
Rhode Island,2021-03-21,133039,2595
Northern Mariana Islands,2021-03-25,159,2
Montana,2021-03-26,104107,1435
Delaware,2021-03-27,93701,1544
Washington,2021-04-12,380554,5380
Montana,2021-04-14,106747,1526
Nevada,2021-04-17,310235,5365
New Mexico,2021-04-22,195990,4025
Illinois,2020-01-25,1,0
District of Columbia,2020-03-13,10,0
Kansas,2020-03-13,6,1
Minnesota,2020-03-14,21,0
Delaware,2020-03-16,8,0
Kansas,2020-03-20,49,1
Northern Mariana Islands,2020-04-05,8,1
Iowa,2020-04-07,1048,26
District of Columbia,2020-04-09,1523,32
Northern Mariana Islands,2020-04-09,11,2
Pennsylvania,2020-04-10,20128,435
Wisconsin,2020-04-14,3555,172
Hawaii,2020-04-16,535,9
Northern Mariana Islands,2020-04-23,14,2
Iowa,2020-04-26,5490,118
Delaware,2020-05-01,4918,159
Idaho,2020-05-07,2178,67
Guam,2020-05-08,1120,6
Oregon,2020-05-09,3160,127
Kansas,2020-05-12,7352,178
Oklahoma,2020-05-20,5532,299
Georgia,2020-05-23,40408,1794
Michigan,2020-05-23,54304,5223
Arkansas,2020-05-26,6180,119
North Dakota,2020-06-03,2682,69
Utah,2020-06-10,12982,128
Wyoming,2020-06-10,980,18
Wyoming,2020-06-13,1050,18
Tennessee,2020-06-14,30174,467
Nevada,2020-06-16,11673,467
Wyoming,2020-06-27,1392,20
Colorado,2020-07-07,34717,1709
Alaska,2020-07-08,1472,15
California,2020-07-10,311505,6936
Mississippi,2020-07-15,38567,1290
Colorado,2020-07-17,39409,1753
West Virginia,2020-08-01,6735,116
Maine,2020-08-06,3997,124
Missouri,2020-08-07,58321,1374
Montana,2020-08-15,5663,82
Tennessee,2020-08-15,128771,1331
Texas,2020-08-20,587900,11248
New Hampshire,2020-08-25,7150,429
Kentucky,2020-08-31,50884,965
Indiana,2020-09-04,100011,3350
Kansas,2020-09-10,48443,499
Georgia,2020-08-14,215328,4474
